teryt,name,area,population
201,bolesławiecki,130349,88275
202,dzierżoniowski,47851,96884
203,głogowski,44326,86376
204,górowski,73825,33027
205,jaworski,58110,48029
206,karkonoski,62717,61469
207,kamiennogórski,39571,41244
208,kłodzki,164330,150515
209,legnicki,74401,55083
210,lubański,42834,52372
211,lubiński,71162,103927
212,lwówecki,70969,43473
213,milicki,71488,36033
214,oleśnicki,104935,106409
215,oławski,52404,77341
216,polkowicki,77970,61309
217,strzeliński,62195,42239
218,średzki,70420,57978
219,świdnicki,74142,152443
220,trzebnicki,102479,86980
221,wałbrzyski,43022,53534
222,wołowski,67495,46044
223,wrocławski,111790,178857
224,ząbkowicki,80163,61846
225,zgorzelecki,83861,86640
226,złotoryjski,57587,41277
261,Jelenia Góra,10930,76570
262,Legnica,5629,93988
264,Wrocław,29281,674312
265,Wałbrzych,8468,103263
401,aleksandrowski,47462,54003
402,brodnicki,103990,78173
403,bydgoski,139383,123833
404,chełmiński,52701,49900
405,golubsko-dobrzyński,61268,43784
406,grudziądzki,72879,39269
407,inowrocławski,122526,153029
408,lipnowski,101673,63414
409,mogileński,67515,44062
410,nakielski,112045,83412
411,radziejowski,60722,38633
412,rypiński,58671,41686
413,sępoleński,79095,39465
414,świecki,147421,95914
415,toruński,123059,112556
416,tucholski,107538,47207
417,wąbrzeski,50083,33029
418,włocławski,147196,83046
419,żniński,98475,68357
461,Bydgoszcz,17596,334026
462,Grudziądz,5776,90275
463,Toruń,11572,197112
464,Włocławek,8509,103535
601,bialski,275430,106194
602,biłgorajski,168100,97771
603,chełmski,188559,74857
604,hrubieszowski,127019,58627
605,janowski,87530,43638
606,krasnostawski,103142,60269
607,kraśnicki,100530,91004
608,lubartowski,128868,85146
609,lubelski,167958,162129
610,łęczyński,63661,56162
611,łukowski,139425,102121
612,opolski,81050,56726
613,parczewski,95219,32934
614,puławski,93376,108699
615,radzyński,96500,55896
616,rycki,61443,52486
617,świdnicki,46835,70125
618,tomaszowski,148676,78805
619,włodawski,125643,36169
620,zamojski,187033,102181
661,Biała Podlaska,4940,55100
662,Chełm,3528,58805
663,Lublin,14745,332852
664,Zamość,3033,59603
801,gorzowski,121422,72905
802,krośnieński,139009,53460
803,międzyrzecki,138759,55678
804,nowosolski,77075,83014
805,słubicki,99934,46114
806,strzelecko-drezdenecki,124781,47436
807,sulęciński,117789,34002
808,świebodziński,93661,54673
809,zielonogórski,135071,74898
810,żagański,113157,75194
811,żarski,139281,92752
812,wschowski,62433,37683
861,Gorzów Wielkopolski,8573,118011
862,Zielona Góra,27827,139667
1001,bełchatowski,96761,109588
1002,kutnowski,88686,92544
1003,łaski,61830,49159
1004,łęczycki,77277,47438
1005,łowicki,98813,75109
1006,łódzki wschodni,49981,73991
1007,opoczyński,104016,72960
1008,pabianicki,49221,119751
1009,pajęczański,80418,49349
1010,piotrkowski,142832,90571
1011,poddębicki,88084,39746
1012,radomszczański,144319,108615
1013,rawski,64629,46749
1014,sieradzki,149088,113195
1015,skierniewicki,75338,37879
1016,tomaszowski,102461,112303
1017,wieluński,92624,73659
1018,wieruszowski,57718,41671
1019,zduńskowolski,36919,64213
1020,zgierski,85519,167019
1021,brzeziński,35855,30374
